"ihdlkid","new_key","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean"
145333746,"47-50",13.6957241,0.98,0,-99,-99,-99,-99,-99,3.1888,0.06,55423.5931366598,23,9.93607803,7.01,3.03,2.18879784020341,0.07874,0.63208,0.11565,0.00423,0.16787,4.57,283.013008,5.543,5453.61214294444,18.1287792305556
145333748,NA,5.57666699,0.86,0,-99,-99,-99,-99,-99,0.0057,0.02,22567.5488244102,NA,NA,NA,NA,NA,0,0.03509,0.31579,0,0.50877,3.19,281.658008,NA,NA,NA
145333756,NA,6.60301893,1.84,4,98,27,1823,9,3680.697315,0.6891,0.03,26720.9701347578,NA,NA,NA,NA,NA,0.19794,0.39718,0.28995,0,0.11493,3.6,275.644004,2.648,5092.76114755556,17.9997421822222
145333764,NA,14.58823262,1.24,6,642,147,9919,9,3354.632517,0.2649,0.06,59035.3794666343,NA,NA,NA,NA,NA,0.21706,0.57191,0.10457,0,0.08343,2.32,263.510996,NA,NA,NA
145333770,"47-551",10.64098115,2.18,4,97,26,1812,10,3687.300334,0.8659,0.04,43061.7180607827,NA,NA,NA,NA,NA,0.08835,0.63979,0.00243,0,0.26204,5.45,277.823008,4.315,5058.57943044444,17.637833045
145333772,"47-102",159.3320111,11.55,6,649,154,10381,8,3195.300506,2.0239,0.65,644781.721095868,6,1.55974129,1.83,0.48,15.4846748202818,0.22106,0.18449,0.10416,0,0.42196,1.67,263.144004,26.936,5510.75544427778,17.1821839783333
145333772,"47-102",159.3320111,11.55,6,649,154,10381,8,3195.300506,2.0239,0.65,644781.721095868,6,1.55974129,1.83,0.48,15.4846748202818,0.22106,0.18449,0.10416,0,0.42196,1.67,263.144004,76.292,5204.71744972222,16.8444660544444
145333772,"47-108",159.3320111,11.55,6,649,154,10381,8,3195.300506,2.0239,0.65,644781.721095868,51,22.45456644,15.55,6.85,1.82231221357657,0.22106,0.18449,0.10416,0,0.42196,1.67,263.144004,26.936,5510.75544427778,17.1821839783333
145333772,"47-108",159.3320111,11.55,6,649,154,10381,8,3195.300506,2.0239,0.65,644781.721095868,51,22.45456644,15.55,6.85,1.82231221357657,0.22106,0.18449,0.10416,0,0.42196,1.67,263.144004,76.292,5204.71744972222,16.8444660544444
145333775,"47-22",79.80398304,3.67,4,62,8,252,16,4350.097184,1.7664,0.32,322949.225203351,24,13.50069258,7.32,4.12,3.25666045531035,0.05791,0.32088,0.19831,0.01234,0.39787,2.19,279.564004,32.845,5368.06597405556,17.5755717772222
145333777,"47-23",22.45571284,1.37,1,1,0,0,19,4492.547642,1.4369,0.09,90873.3472542592,NA,NA,NA,NA,NA,0.02721,0.09138,0.6965,0,0.17844,2.15,285.208008,9.087,5055.09829694444,17.5656946794444
145333779,"47-106",18.93527583,1.89,1,0,0,0,8,3195.300506,0.1634,0.08,76626.9104042734,34,16.64557166,10.37,5.07,1.6044144782405,0.66034,0.03366,0.01714,0.00306,0.20808,2.47,263.176992,5.821,5075.93148855556,17.6132570638889
145333783,"47-52",7.606383505,0.66,0,-99,-99,-99,-99,-99,1.2966,0.03,30781.3666181053,NA,NA,NA,NA,NA,0.09039,0.55183,0.06479,0.01674,0.27271,3.83,281.258008,3.076,5092.30669116667,18.1146360261111
145333791,"47-21",234.1479058,9.53,4,96,21,1160,15,4115.949278,2.4296,0.95,947545.246246611,24,10.93552482,7.32,3.33,4.26224988997795,0.17501,0.42554,0.01016,0.00453,0.36101,3.65,276.495996,30.672,5402.41670644444,17.7438137677778
145333791,"47-21",234.1479058,9.53,4,96,21,1160,15,4115.949278,2.4296,0.95,947545.246246611,24,10.93552482,7.32,3.33,4.26224988997795,0.17501,0.42554,0.01016,0.00453,0.36101,3.65,276.495996,64.138,5445.17379261111,16.8251174911111
145333791,"47-19",234.1479058,9.53,4,96,21,1160,15,4115.949278,2.4296,0.95,947545.246246611,59,22.00690462,17.99,6.71,1.73427844328175,0.17501,0.42554,0.01016,0.00453,0.36101,3.65,276.495996,30.672,5402.41670644444,17.7438137677778
145333791,"47-19",234.1479058,9.53,4,96,21,1160,15,4115.949278,2.4296,0.95,947545.246246611,59,22.00690462,17.99,6.71,1.73427844328175,0.17501,0.42554,0.01016,0.00453,0.36101,3.65,276.495996,64.138,5445.17379261111,16.8251174911111
145333794,"47-154",21.64217506,1.43,1,0,0,0,12,3818.35739,3.4063,0.09,87581.1381975638,NA,NA,NA,NA,NA,0.16401,0.34245,0.12351,0.00026,0.36726,1.61,275.735,8.823,5041.74170083333,17.6242721155556
145333798,"47-552",9.758701822,1,0,-99,-99,-99,-99,-99,0.1262,0.04,39491.3270284489,NA,NA,NA,NA,NA,0.45958,0.33834,0,0,0.16719,8.14,277.589004,3.95,5071.14298377778,17.8204619572222
145333805,"47-54",114.0020885,10.72,4,96,25,1698,11,3697.941315,2.2994,0.46,461341.461292542,12,4.86428237,3.66,1.48,7.12073028849553,0.17322,0.61773,0,0.00135,0.17396,5.99,277.384004,45.934,5205.63983227778,18.0871445711111
145333810,"47-27",25.04425542,1.43,4,33,3,123,19,4492.547642,0.6749,0.1,101348.611630448,NA,NA,NA,NA,NA,0.00622,0.14076,0.29531,0,0.54571,1.41,279.171992,10.137,5073.03621255556,17.6820107722222
145333812,"47-554",10.34257363,1.58,0,-99,-99,-99,-99,-99,0.1104,0.04,41854.1282424831,NA,NA,NA,NA,NA,0.1712,0.59239,0,0,0.23641,3.98,274.57,4.185,5055.83080211111,17.6332308266667
145333816,NA,8.54835597,1.08,4,96,22,1394,14,4107.400922,0.0808,0.03,34593.3226902999,NA,NA,NA,NA,NA,0.23267,0.46535,0,0,0.21163,2.51,270.399004,3.508,5083.46327705556,18.0101829166667
145333821,"81-107",252.2219466,5.19,6,655,157,10565,7,2943.078559,3.39,1.02,1020686.92727935,NA,NA,NA,NA,NA,0.18245,0.36467,0.36965,0.00862,0.04442,3.46,277.139004,98.735,5474.11332238889,16.7637762666667
145333825,NA,6.084190996,0.68,0,-99,-99,-99,-99,-99,0.043,0.02,24621.3872202663,NA,NA,NA,NA,NA,0.67442,0.15581,0,0.09535,0.06512,4.68,266.156992,2.462,5099.61408527778,18.0690914416667
145333832,"47-24",12.55171279,0.89,4,35,5,170,18,4479.995929,0.6191,0.05,50794.0301485169,23,7.72567928,7.01,2.36,2.14158418049689,0,0.41722,0.08948,0,0.47504,2.33,278.906992,6.109,5361.94996705556,17.7624837977778
145333836,"81-4",51.24881676,2.58,4,96,23,1403,13,4056.152105,0.4301,0.21,207392.7269637,NA,NA,NA,NA,NA,0.01488,0.55196,0,0,0.37596,3.51,275.633008,6.829,5059.95724238889,17.6932170155556
145333836,"81-4",51.24881676,2.58,4,96,23,1403,13,4056.152105,0.4301,0.21,207392.7269637,NA,NA,NA,NA,NA,0.01488,0.55196,0,0,0.37596,3.51,275.633008,13.683,5372.76895016667,17.1677595655556
145333836,"81-3",51.24881676,2.58,4,96,23,1403,13,4056.152105,0.4301,0.21,207392.7269637,NA,NA,NA,NA,NA,0.01488,0.55196,0,0,0.37596,3.51,275.633008,6.829,5059.95724238889,17.6932170155556
