"Water_Body_Key","Water_Body_Name","FMU_Code","survey_number","Year","Survey_Purpose","new_key","Located_Town","Located_Range","Located_Section","primary_county_name","FirstOfSurvey_Begin_Timestamp","LastOfEnding_Effort_Timestamp","LONG_DD","LAT_DD","IHDLKID"
"49N11W0502","Ready Lakes","MI-MES",6572,2007,"Status & Trends","48-608","49N","11W",5,"Luce","8/3/06","8/3/06",-85.7126,46.66249,109943694
"49N11W3401","Deer Lake","MI-MES",4136,2003,"Status & Trends","48-621","49N","11W",34,"Luce","7/16/03","8/26/03",-85.67371,46.60638,109944274
"49N11W3301","Sid Lake","MI-MES",4137,2003,"Status & Trends","48-622","49N","11W",33,"Luce","7/16/03","8/27/03",-85.67982,46.60527,109944284
"49N11W3302","Pratt Lake","MI-MES",10108,2014,"Status & Trends","48-623","49N","11W",33,"Luce","5/27/14","5/30/14",-85.68871,46.6061,109944280
"49N12W3601","Tank Lake","MI-MES",7579,2008,"Status & Trends","48-628","49N","12W",36,"Luce","5/27/08","5/29/08",-85.74454,46.60165,109944380
"49N11W3303","Beaverhouse Lake","MI-MES",4663,2004,"Status & Trends","48-634","49N","11W",33,"Luce","6/21/04","6/25/04",-85.68066,46.59888,109944360
"49N11W3406","Pretty Lake","MI-MES",10914,2016,"Status & Trends","48-639","49N","11W",34,"Luce","5/16/16","5/19/16",-85.6601,46.6011,109944316
"49N11W3404","Camp Eight Lake","MI-MES",6377,2006,"Status & Trends","48-643","49N","11W",34,"Luce","6/5/06","8/15/06",-85.67038,46.59943,109944322
"49N12W0101","Blind Sucker Flooding","MI-MES",6824,2007,"Status & Trends","48-650","49N","12W",1,"Luce","5/16/07","",-85.75316,46.66249,109943746
"49N12W1001","Brucker Lake","MI-MES",10454,2015,"Status & Trends","48-654","49N","12W",10,"Luce","6/1/15","6/4/15",-85.78343,46.65804,109943834
"11396","Little Lake Harbor","MI-MES",8551,2010,"Status & Trends","48-677","50N","08W",19,"Luce","6/14/10","",-85.36149,46.71277,109943400
"50N08W2901","Bodi Lake","MI-MES",2946,2001,"Status & Trends","48-681","50N","08W",29,"Luce","7/2/01","8/1/01",-85.32704,46.70082,109943412
"50N08W2901","Bodi Lake","MI-MES",7802,2009,"Status & Trends","48-681","50N","08W",29,"Luce","6/29/09","7/29/09",-85.32704,46.70082,109943412
"50N08W3001","Culhane Lake","MI-MES",3880,2002,"Status & Trends","48-685","50N","08W",30,"Luce","8/5/02","8/8/02",-85.35371,46.69415,109943422
"46N10W2701","Dollarville Flowage","MI-MES",9599,2013,"Status & Trends","48-740","46N","10W",27,"Luce","5/28/13","6/6/13",-85.54889,46.35439,86671725
"42N11W2301","Duel Lake","MI-MNM",8872,2011,"Status & Trends","49-117","42N","11W",23,"Mackinac","5/23/11","5/26/11",-85.65038,46.0136,118045157
"43N12W3301","Milakokia Lake","MI-MNM",10932,2016,"Status & Trends","49-127","43N","12W",33,"Mackinac","5/9/16","5/15/16",-85.80427,46.07915,118044909
"10742","East Lake","MI-MNH",8478,2010,"Status & Trends","49-166","43N","04W",16,"Mackinac","5/17/10","",-84.80427,46.12638,123111060
"43N10W0201","Millecoquins Lake","MI-MNM",9224,2012,"Status & Trends","49-262","43N","10W",2,"Mackinac","5/21/12","6/12/12",-85.51315,46.1536,118044311
"44N11W1801","S Manistique (Whitefish) Lake","MI-MNM",4086,2003,"Status & Trends","49-280","44N","11W",18,"Mackinac","6/2/03","8/20/03",-85.7626,46.17499,44364664
"44N11W1801","S Manistique (Whitefish) Lake","MI-MNM",9225,2012,"Status & Trends","49-280","44N","11W",18,"Mackinac","6/25/12","7/2/12",-85.7626,46.17499,44364664
"44N08W2101","Big Dollar Lake","MI-MES",2957,2001,"Status & Trends","49-336","44N","08W",21,"Mackinac","7/30/01","7/31/01",-85.3026,46.19499,86672271
"44N08W2101","Big Dollar Lake","MI-MES",8242,2009,"Status & Trends","49-336","44N","08W",21,"Mackinac","5/18/09","5/21/09",-85.3026,46.19499,86672271
"42N05W3401","Brevoort Lake","MI-MNM",11795,2018,"Status & Trends","49-45","42N","05W",34,"Mackinac","5/21/18","5/29/18",-84.93343,45.99999,118044901
"42N06W2401","Little Brevoort Lake","MI-MNM",8241,2009,"Status & Trends","49-97","42N","06W",23,"Mackinac","5/26/09","7/30/09",-85.00843,46.01804,118044907
"28N09W1201","Lake Skegemog","MI-MCM",6870,2008,"Status & Trends","5-1","28N","09W",24,"Kalkaska","6/2/08","6/5/08",-85.35028,44.82789,155417513
"29N09W2001","Elk Lake","MI-MCM",6783,2008,"Status & Trends","5-2","29N","09W",20,"Antrim","6/2/08","6/6/08",-85.38343,44.86665,155417505
"11337","Lake Of The Woods","MI-MCM",3493,2003,"Status & Trends","5-27","29N","07W",17,"Antrim","5/19/03","8/13/03",-85.18343,44.9086,155417452
"29N07W2701","Green Lake","MI-MCM",7866,2009,"Status & Trends","5-38","29N","07W",27,"Antrim","5/18/09","5/20/09",-85.13565,44.88165,155417475
