"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
123395992,123395992,"",17.88225818,"Pan Lake",1.49,1,2,3,0,0,5,2830.751395,0.3216,1
123396012,123396012,"",66.37408996,"Barb Lake",2.13,1,3,7,0,0,2,13373.74877,0.6749,1
123396018,123396018,"",5.7311233,"Coyote Lake",0.6,3,-99,-99,-99,-99,-99,-99,0.1666,0
123396053,123396053,"",17.7829287,"",1.49,1,3,9,0,0,3,2441.223864,0.3022,1
123396073,123396073,"",11.23949812,"Stickley Lake",0.99,1,2,2,0,0,1,294.398634,0.1664,1
123396087,123396087,"",5.394945884,"",1.07,1,2,5,0,0,5,2830.751395,0.1146,1
123396104,123396104,"",198.3767795,"Bass Lake",4.32,1,3,15,1,15,3,2441.223864,1.1932,1
123396195,123396195,"",463.1998012,"Sucker Lake",10.41,1,3,49,0,0,2,320.623469,1.1525,1
123396240,123396240,"",15.23275375,"",1.1,1,2,2,0,0,4,2639.600643,1.0409,1
123396257,123396257,"",6.296101624,"",0.8,1,2,5,0,0,3,2441.223864,0.055,1
123396334,123396334,"",24.92170116,"Joyce Lake",1.29,1,2,3,0,0,4,2548.648246,0.2065,1
123396348,123396348,"",15.81597417,"",1.24,1,2,2,0,0,1,294.398634,0.0754,1
123396354,123396354,"",6.299488183,"Amik Lake",0.65,3,-99,-99,-99,-99,-99,-99,0.2149,0
123396362,123396362,"",282.1031491,"Wolf Lake",7.43,1,3,25,2,23,4,2548.648246,1.159,1
123396407,123396407,"",35.83889695,"Englesby Lake",2.45,3,-99,-99,-99,-99,-99,-99,2.6537,0
123396410,123396410,"",107.4243816,"Ogima Lake",7.88,1,3,28,4,330,3,2441.223864,0.4834,1
123396422,123396422,"",9.655299267,"Gallagher Lake",0.76,1,1,1,0,0,3,2441.223864,0.1376,1
123396439,123396439,"",14.48996729,"",4.29,3,-99,-99,-99,-99,-99,-99,0.6902,0
123396441,123396441,"",7.347808096,"Cowslip Lake",0.7,3,-99,-99,-99,-99,-99,-99,0.8875,0
123396450,123396450,"",13.37463005,"",1.42,1,1,1,0,0,3,2441.223864,1.9161,1
123396470,123396470,"",6.780919258,"",1.44,3,-99,-99,-99,-99,-99,-99,0.5175,0
123396506,123396506,"",5.589147409,"",0.71,1,1,1,0,0,3,2441.223864,0.4137,1
123396611,123396611,"",9.665167606,"Slope Lake",0.86,3,-99,-99,-99,-99,-99,-99,0.1954,0
123396614,123396614,"",297.4749824,"Marion Lake",7.58,1,2,3,0,0,3,2441.223864,1.3233,1
123396674,123396674,"",19.41707178,"Johnson Lake",3.13,1,1,1,0,0,3,2441.223864,4.7716,1
123396685,123396685,"",5.624706495,"",2.38,1,3,11,1,110,3,2441.223864,0.3445,1
123396708,123396708,"",58.35419623,"Horseshoe Lake",3.38,3,-99,-99,-99,-99,-99,-99,1.268,0
123396748,123396748,"",12.0345337,"",1.92,1,3,6,0,0,3,2441.223864,0.4321,1
123396753,123396753,"",15.78499375,"Little Langford Lake",1.04,3,-99,-99,-99,-99,-99,-99,0.3385,0
123396767,123396767,"",110.1769002,"Damon Lake",4.32,1,2,3,0,0,4,2446.84857,1.5346,1
123396785,123396785,"",21.36163963,"Albino Lake",1.42,1,3,4,0,0,3,2441.223864,0.1946,1
123396790,123396790,"",8.042013172,"Winter Lake",0.87,3,-99,-99,-99,-99,-99,-99,0.0654,0
123396807,123396807,"",6.169089272,"Raven Lake",0.61,1,2,2,0,0,3,2441.223864,0.1201,1
123396813,123396813,"",29.04644683,"Tomassi Lake",1.62,1,2,2,0,0,5,2882.751846,0.156,1
123396833,123396833,"",110.0725567,"Taylor Lake",3.67,1,3,6,1,29,4,2772.679289,1.1968,1
123396845,123396845,"",5.255816998,"",0.75,1,3,10,0,0,3,2441.223864,0.1112,1
123396861,123396861,"",36.35812841,"Schneider Lake",2.69,3,-99,-99,-99,-99,-99,-99,0.8189,0
123396876,123396876,"",19.45301881,"Deeryard Lake",1.13,1,1,1,0,0,1,294.398634,1.4104,1
123396879,123396879,"",480.9236016,"Langford Lake",8.84,1,1,2,1,8,1,294.398634,4.7827,1
123396907,123396907,"",32.49806095,"Porcupine Lake",2.06,1,2,4,1,42,3,2441.223864,0.2361,1
123396910,123396910,"",21.13152911,"Lumberjack Lake",1.32,3,-99,-99,-99,-99,-99,-99,0.6504,0
123396952,123396952,"",11.18428584,"",1.14,3,-99,-99,-99,-99,-99,-99,0.0967,0
123396955,123396955,"",11.40076211,"Opal Lake",0.82,3,-99,-99,-99,-99,-99,-99,0.4155,0
123396964,123396964,"",5.19073262,"",0.97,3,-99,-99,-99,-99,-99,-99,0.0553,0
123397023,123397023,"",176.7510131,"Clearwater Lake",4.13,2,1,0,0,0,2,1978.174425,1.9948,0
123397037,123397037,"",51.65593747,"Powwow Lake",2.86,3,-99,-99,-99,-99,-99,-99,0.4101,0
